村志代码 Gazetteer Code,村志书名 Gazetteer Title,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4,Subdivision
0051,潭前王村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0051,潭前王村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0051,潭前王村志,Yes,1949,2003,374,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0053,牟家村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0053,牟家村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0053,牟家村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0053,牟家村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0053,牟家村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0053,牟家村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0053,牟家村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0053,牟家村志,Yes,1960,1962,207,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0053,牟家村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0053,牟家村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0053,牟家村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0053,牟家村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0042,新桥村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0042,新桥村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0042,新桥村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0042,新桥村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0042,新桥村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0042,新桥村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0042,新桥村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0042,新桥村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0042,新桥村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0042,新桥村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0042,新桥村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0042,新桥村志,Yes,1990,2004,88,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0054,西官庄村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0054,西官庄村志,Yes,1969,1972,22,在校生 Students in School,初中 Junior High School,,,,
